t	abs A	xerr	yerr
0.0000	0.2605462	0.005	0.009
0.6667	0.2485027	0.005	0.009
1.2667	0.2605363	0.005	0.009
1.9333	0.247264	0.005	0.009
2.5333	0.250873	0.005	0.009
3.1333	0.2436347	0.005	0.009
3.8000	0.2512081	0.005	0.009
4.4000	0.2434652	0.005	0.009
5.0667	0.2494872	0.005	0.009
5.6667	0.2407169	0.005	0.009
6.3333	0.2411523	0.005	0.009
6.9333	0.2379649	0.005	0.009
7.5333	0.2377019	0.005	0.009
8.2000	0.2379649	0.005	0.009
8.8667	0.2369721	0.005	0.009
9.4667	0.2338299	0.005	0.009
10.0667	0.2349196	0.005	0.009
10.7333	0.2300814	0.005	0.009
11.3333	0.2313856	0.005	0.009
53.4700	0.1552539	0.005	0.009
54.0700	0.161905	0.005	0.009
54.7367	0.1547932	0.005	0.009
55.3367	0.1586208	0.005	0.009
56.0033	0.1499269	0.005	0.009
56.6033	0.1586208	0.005	0.009
57.2033	0.1490382	0.005	0.009
57.8700	0.1568353	0.005	0.009
58.4700	0.1506768	0.005	0.009
59.1367	0.1521006	0.005	0.009
59.7367	0.1486277	0.005	0.009
60.3367	0.1512078	0.005	0.009
61.0033	0.1468542	0.005	0.009
61.6033	0.1514527	0.005	0.009
62.2700	0.1429364	0.005	0.009
62.8700	0.1491852	0.005	0.009
63.5367	0.1408645	0.005	0.009
64.1367	0.1489223	0.005	0.009
64.7367	0.1413091	0.005	0.009
129.9400	0.08894298	0.005	0.009
130.6067	0.09658387	0.005	0.009
131.2067	0.08910892	0.005	0.009
131.8067	0.09570542	0.005	0.009
132.4733	0.08907569	0.005	0.009
133.0733	0.09453856	0.005	0.009
133.7400	0.0878122	0.005	0.009
180.6767	0.077416	0.005	0.009
181.3433	0.07084657	0.005	0.009
181.9433	0.07672083	0.005	0.009
182.5433	0.07084657	0.005	0.009
183.2100	0.07635062	0.005	0.009
183.8100	0.07092301	0.005	0.009
184.4100	0.07566921	0.005	0.009
185.0767	0.07215954	0.005	0.009
185.6767	0.07468511	0.005	0.009
251.3467	0.05280073	0.005	0.009
252.0133	0.06271469	0.005	0.009
252.6800	0.05197603	0.005	0.009
253.2800	0.06309065	0.005	0.009
253.8800	0.05077398	0.005	0.009
254.5467	0.06270375	0.005	0.009
255.1467	0.05144938	0.005	0.009
255.8133	0.06217357	0.005	0.009
256.4133	0.05035307	0.005	0.009
333.4167	0.05056966	0.005	0.009
334.0167	0.04069311	0.005	0.009
334.6183	0.05024054	0.005	0.009
335.2850	0.03966508	0.005	0.009
431.6233	0.03367098	0.005	0.009
432.2233	0.04138656	0.005	0.009
432.8900	0.03335552	0.005	0.009
433.4900	0.04248831	0.005	0.009
434.0900	0.03332848	0.005	0.009
434.7567	0.04113312	0.005	0.009
435.3567	0.0326959	0.005	0.009
436.0233	0.04174477	0.005	0.009
436.6233	0.03261619	0.005	0.009
437.2900	0.04102835	0.005	0.009
536.6950	0.02208934	0.005	0.009
537.3617	0.03121012	0.005	0.009
537.9617	0.02133499	0.005	0.009
538.5617	0.03013141	0.005	0.009
538.6283	0.03013141	0.005	0.009
539.2283	0.02133499	0.005	0.009
539.8283	0.03080685	0.005	0.009
539.8950	0.03080685	0.005	0.009
540.4283	0.02030534	0.005	0.009
612.4317	0.02701134	0.005	0.009
612.9650	0.01702222	0.005	0.009
613.6317	0.02734478	0.005	0.009
614.2983	0.01774598	0.005	0.009
614.8983	0.02734478	0.005	0.009
615.5650	0.01740372	0.005	0.009
616.1650	0.02738553	0.005	0.009
616.7650	0.01776198	0.005	0.009
617.4317	0.02738553	0.005	0.009
618.0317	0.01774598	0.005	0.009
618.6317	0.02698729	0.005	0.009
619.3000	0.01734085	0.005	0.009
619.9000	0.0266298	0.005	0.009
620.5650	0.01774598	0.005	0.009
621.1650	0.02698729	0.005	0.009
621.8333	0.01734085	0.005	0.009
622.4333	0.0266298	0.005	0.009
