t	rad	xerr	yerr
0.000	0.261	0.005	0.009
0.067	0.246	0.005	0.009
0.133	0.208	0.005	0.009
0.200	0.148	0.005	0.009
0.267	0.073	0.005	0.009
0.333	-0.015	0.005	0.009
0.400	-0.098	0.005	0.009
0.467	-0.168	0.005	0.009
0.533	-0.222	0.005	0.009
0.600	-0.248	0.005	0.009
0.667	-0.249	0.005	0.009
0.733	-0.223	0.005	0.009
0.800	-0.168	0.005	0.009
0.867	-0.101	0.005	0.009
0.933	-0.016	0.005	0.009
1.000	0.065	0.005	0.009
1.067	0.142	0.005	0.009
1.133	0.204	0.005	0.009
1.200	0.244	0.005	0.009
1.267	0.261	0.005	0.009
1.333	0.241	0.005	0.009
1.400	0.202	0.005	0.009
1.467	0.138	0.005	0.009
1.533	0.062	0.005	0.009
1.600	-0.022	0.005	0.009
1.667	-0.103	0.005	0.009
1.733	-0.171	0.005	0.009
1.800	-0.222	0.005	0.009
1.867	-0.247	0.005	0.009
1.933	-0.247	0.005	0.009
2.000	-0.219	0.005	0.009
2.067	-0.166	0.005	0.009
2.133	-0.090	0.005	0.009
2.200	-0.013	0.005	0.009
2.267	0.071	0.005	0.009
2.333	0.149	0.005	0.009
2.400	0.205	0.005	0.009
2.467	0.244	0.005	0.009
2.533	0.251	0.005	0.009
2.600	0.237	0.005	0.009
2.667	0.191	0.005	0.009
2.733	0.130	0.005	0.009
2.800	0.056	0.005	0.009
2.867	-0.030	0.005	0.009
2.933	-0.109	0.005	0.009
3.000	-0.176	0.005	0.009
3.067	-0.222	0.005	0.009
3.133	-0.244	0.005	0.009
3.200	-0.242	0.005	0.009
3.267	-0.208	0.005	0.009
3.333	-0.154	0.005	0.009
3.400	-0.084	0.005	0.009
3.467	-0.039	0.005	0.009
3.533	0.081	0.005	0.009
3.600	0.152	0.005	0.009
3.667	0.209	0.005	0.009
3.733	0.245	0.005	0.009
3.800	0.251	0.005	0.009
3.867	0.230	0.005	0.009
3.933	0.187	0.005	0.009
4.000	0.122	0.005	0.009
4.067	0.048	0.005	0.009
4.133	-0.036	0.005	0.009
4.200	-0.112	0.005	0.009
4.267	-0.179	0.005	0.009
4.333	-0.224	0.005	0.009
4.400	-0.243	0.005	0.009
4.467	-0.237	0.005	0.009
4.533	-0.201	0.005	0.009
4.600	-0.147	0.005	0.009
4.667	-0.074	0.005	0.009
4.733	0.010	0.005	0.009
4.800	0.085	0.005	0.009
4.867	0.156	0.005	0.009
4.933	0.208	0.005	0.009
5.000	0.239	0.005	0.009
5.067	0.249	0.005	0.009
5.133	0.221	0.005	0.009
5.200	0.178	0.005	0.009
5.267	0.116	0.005	0.009
5.333	0.038	0.005	0.009
5.400	-0.043	0.005	0.009
5.467	-0.117	0.005	0.009
5.533	-0.182	0.005	0.009
5.600	-0.225	0.005	0.009
5.667	-0.241	0.005	0.009
5.733	-0.232	0.005	0.009
5.800	-0.199	0.005	0.009
5.867	-0.141	0.005	0.009
5.933	-0.064	0.005	0.009
6.000	0.014	0.005	0.009
6.067	0.094	0.005	0.009
6.133	0.162	0.005	0.009
6.200	0.214	0.005	0.009
6.267	0.238	0.005	0.009
6.333	0.241	0.005	0.009
6.400	0.219	0.005	0.009
6.467	0.168	0.005	0.009
6.533	0.104	0.005	0.009
6.600	0.027	0.005	0.009
6.667	-0.048	0.005	0.009
6.733	-0.123	0.005	0.009
6.800	-0.184	0.005	0.009
6.867	-0.223	0.005	0.009
6.933	-0.238	0.005	0.009
7.000	-0.225	0.005	0.009
7.067	-0.187	0.005	0.009
7.133	-0.130	0.005	0.009
7.200	-0.057	0.005	0.009
7.267	0.022	0.005	0.009
7.333	0.099	0.005	0.009
7.400	0.164	0.005	0.009
7.467	0.212	0.005	0.009
7.533	0.238	0.005	0.009
7.600	0.235	0.005	0.009
7.667	0.213	0.005	0.009
7.733	0.162	0.005	0.009
7.800	0.096	0.005	0.009
7.867	0.023	0.005	0.009
7.933	-0.058	0.005	0.009
8.000	-0.127	0.005	0.009
8.067	-0.188	0.005	0.009
8.133	-0.225	0.005	0.009
8.200	-0.238	0.005	0.009
8.267	-0.221	0.005	0.009
8.333	-0.184	0.005	0.009
8.400	-0.125	0.005	0.009
8.467	-0.050	0.005	0.009
8.533	0.032	0.005	0.009
8.600	0.109	0.005	0.009
8.667	0.169	0.005	0.009
8.733	0.213	0.005	0.009
8.800	0.235	0.005	0.009
8.867	0.237	0.005	0.009
8.933	0.203	0.005	0.009
9.000	0.154	0.005	0.009
9.067	0.087	0.005	0.009
9.133	0.013	0.005	0.009
9.200	-0.066	0.005	0.009
9.267	-0.135	0.005	0.009
9.333	-0.188	0.005	0.009
9.400	-0.210	0.005	0.009
9.467	-0.234	0.005	0.009
9.533	-0.217	0.005	0.009
9.600	-0.175	0.005	0.009
9.667	-0.114	0.005	0.009
9.733	-0.040	0.005	0.009
9.800	0.040	0.005	0.009
9.867	0.112	0.005	0.009
9.933	0.172	0.005	0.009
10.000	0.213	0.005	0.009
10.067	0.235	0.005	0.009
10.133	0.229	0.005	0.009
