t	θ	uncertainty T	uncertainty A
0.00	-0.156	0.02	0.009
0.03	-0.152	0.02	0.009
0.07	-0.144	0.02	0.009
0.10	-0.133	0.02	0.009
0.13	-0.122	0.02	0.009
0.17	-0.095	0.02	0.009
0.20	-0.061	0.02	0.009
0.23	-0.019	0.02	0.009
0.27	0.021	0.02	0.009
0.30	0.054	0.02	0.009
0.33	0.083	0.02	0.009
0.37	0.108	0.02	0.009
0.40	0.132	0.02	0.009
0.43	0.146	0.02	0.009
0.47	0.150	0.02	0.009
0.50	0.145	0.02	0.009
0.53	0.127	0.02	0.009
0.57	0.101	0.02	0.009
0.60	0.070	0.02	0.009
0.63	0.039	0.02	0.009
0.66	0.004	0.02	0.009
0.70	-0.030	0.02	0.009
0.73	-0.066	0.02	0.009
0.76	-0.095	0.02	0.009
0.80	-0.126	0.02	0.009
0.83	-0.143	0.02	0.009
0.86	-0.149	0.02	0.009
0.90	-0.146	0.02	0.009
0.93	-0.133	0.02	0.009
0.96	-0.115	0.02	0.009
1.00	-0.087	0.02	0.009
1.03	-0.054	0.02	0.009
1.06	-0.017	0.02	0.009
1.10	0.019	0.02	0.009
1.13	0.055	0.02	0.009
1.16	0.088	0.02	0.009
1.20	0.114	0.02	0.009
1.23	0.136	0.02	0.009
1.26	0.144	0.02	0.009
1.30	0.145	0.02	0.009
1.33	0.137	0.02	0.009
1.36	0.121	0.02	0.009
1.40	0.097	0.02	0.009
1.43	0.069	0.02	0.009
1.46	0.035	0.02	0.009
1.50	0.000	0.02	0.009
1.53	-0.036	0.02	0.009
1.56	-0.070	0.02	0.009
1.60	-0.099	0.02	0.009
1.63	-0.127	0.02	0.009
1.66	-0.138	0.02	0.009
1.70	-0.143	0.02	0.009
1.73	-0.141	0.02	0.009
1.76	-0.128	0.02	0.009
1.80	-0.110	0.02	0.009
1.83	-0.082	0.02	0.009
1.86	-0.048	0.02	0.009
1.89	-0.012	0.02	0.009
1.93	0.023	0.02	0.009
1.96	0.057	0.02	0.009
1.99	0.090	0.02	0.009
2.03	0.116	0.02	0.009
2.06	0.134	0.02	0.009
2.09	0.143	0.02	0.009
2.13	0.144	0.02	0.009
2.16	0.135	0.02	0.009
2.19	0.118	0.02	0.009
2.23	0.095	0.02	0.009
2.26	0.065	0.02	0.009
2.29	0.032	0.02	0.009
2.33	-0.003	0.02	0.009
2.36	-0.038	0.02	0.009
2.39	-0.070	0.02	0.009
2.43	-0.098	0.02	0.009
2.46	-0.126	0.02	0.009
2.49	-0.142	0.02	0.009
2.53	-0.147	0.02	0.009
2.56	-0.143	0.02	0.009
2.59	-0.130	0.02	0.009
2.63	-0.106	0.02	0.009
2.66	-0.078	0.02	0.009
2.69	-0.044	0.02	0.009
2.73	-0.008	0.02	0.009
2.76	0.026	0.02	0.009
2.79	0.060	0.02	0.009
2.83	0.090	0.02	0.009
2.86	0.115	0.02	0.009
2.89	0.132	0.02	0.009
2.93	0.140	0.02	0.009
2.96	0.140	0.02	0.009
2.99	0.131	0.02	0.009
3.02	0.114	0.02	0.009
3.06	0.089	0.02	0.009
3.09	0.060	0.02	0.009
3.12	0.026	0.02	0.009
3.16	-0.008	0.02	0.009
3.19	-0.043	0.02	0.009
3.22	-0.076	0.02	0.009
3.26	-0.103	0.02	0.009
3.29	-0.124	0.02	0.009
3.32	-0.140	0.02	0.009
3.36	-0.146	0.02	0.009
3.39	-0.142	0.02	0.009
3.42	-0.128	0.02	0.009
3.46	-0.103	0.02	0.009
3.49	-0.075	0.02	0.009
3.52	-0.043	0.02	0.009
3.56	-0.008	0.02	0.009
3.59	0.026	0.02	0.009
3.62	0.060	0.02	0.009
3.66	0.090	0.02	0.009
3.69	0.112	0.02	0.009
3.72	0.130	0.02	0.009
3.76	0.138	0.02	0.009
3.79	0.137	0.02	0.009
3.82	0.127	0.02	0.009
3.86	0.110	0.02	0.009
3.89	0.086	0.02	0.009
3.92	0.058	0.02	0.009
3.96	0.025	0.02	0.009
3.99	-0.010	0.02	0.009
4.02	-0.045	0.02	0.009
4.06	-0.078	0.02	0.009
4.09	-0.104	0.02	0.009
4.12	-0.124	0.02	0.009
4.16	-0.139	0.02	0.009
4.19	-0.144	0.02	0.009
4.22	-0.140	0.02	0.009
4.25	-0.125	0.02	0.009
4.29	-0.101	0.02	0.009
4.32	-0.073	0.02	0.009
4.35	-0.041	0.02	0.009
4.39	-0.006	0.02	0.009
4.42	0.028	0.02	0.009
4.45	0.060	0.02	0.009
4.49	0.090	0.02	0.009
4.52	0.115	0.02	0.009
4.55	0.130	0.02	0.009
4.59	0.137	0.02	0.009
4.62	0.136	0.02	0.009
4.65	0.125	0.02	0.009
4.69	0.107	0.02	0.009
4.72	0.083	0.02	0.009
4.75	0.054	0.02	0.009
4.79	0.021	0.02	0.009
4.82	-0.013	0.02	0.009
4.85	-0.047	0.02	0.009
4.89	-0.079	0.02	0.009
4.92	-0.104	0.02	0.009
4.95	-0.124	0.02	0.009
4.99	-0.138	0.02	0.009
5.02	-0.143	0.02	0.009
5.05	-0.138	0.02	0.009
5.09	-0.119	0.02	0.009
5.12	-0.095	0.02	0.009
5.15	-0.068	0.02	0.009
5.19	-0.036	0.02	0.009
5.22	-0.004	0.02	0.009
5.25	0.030	0.02	0.009
5.29	0.064	0.02	0.009
5.32	0.091	0.02	0.009
5.35	0.113	0.02	0.009
5.38	0.127	0.02	0.009
5.42	0.135	0.02	0.009
5.45	0.133	0.02	0.009
5.48	0.122	0.02	0.009
5.52	0.104	0.02	0.009
5.55	0.081	0.02	0.009
5.58	0.052	0.02	0.009
5.62	0.018	0.02	0.009
5.65	-0.016	0.02	0.009
5.68	-0.048	0.02	0.009
5.72	-0.079	0.02	0.009
5.75	-0.102	0.02	0.009
5.78	-0.123	0.02	0.009
5.82	-0.137	0.02	0.009
5.85	-0.138	0.02	0.009
5.88	-0.132	0.02	0.009
5.92	-0.117	0.02	0.009
5.95	-0.092	0.02	0.009
5.98	-0.064	0.02	0.009
6.02	-0.033	0.02	0.009
6.05	0.001	0.02	0.009
6.08	0.035	0.02	0.009
6.12	0.066	0.02	0.009
6.15	0.094	0.02	0.009
6.18	0.114	0.02	0.009
6.22	0.127	0.02	0.009
6.25	0.133	0.02	0.009
6.28	0.132	0.02	0.009
6.32	0.121	0.02	0.009
6.35	0.103	0.02	0.009
6.38	0.079	0.02	0.009
6.42	0.048	0.02	0.009
6.45	0.015	0.02	0.009
6.48	-0.018	0.02	0.009
6.52	-0.050	0.02	0.009
6.55	-0.079	0.02	0.009
6.58	-0.103	0.02	0.009
6.61	-0.122	0.02	0.009
6.65	-0.136	0.02	0.009
6.68	-0.136	0.02	0.009
6.71	-0.130	0.02	0.009
6.75	-0.114	0.02	0.009
6.78	-0.090	0.02	0.009
6.81	-0.062	0.02	0.009
6.85	-0.029	0.02	0.009
6.88	0.004	0.02	0.009
6.91	0.038	0.02	0.009
6.95	0.067	0.02	0.009
6.98	0.093	0.02	0.009
7.01	0.113	0.02	0.009
7.05	0.125	0.02	0.009
7.08	0.132	0.02	0.009
7.11	0.130	0.02	0.009
7.15	0.120	0.02	0.009
7.18	0.100	0.02	0.009
7.21	0.076	0.02	0.009
7.25	0.047	0.02	0.009
7.28	0.015	0.02	0.009
7.31	-0.018	0.02	0.009
7.35	-0.050	0.02	0.009
7.38	-0.080	0.02	0.009
7.41	-0.106	0.02	0.009
7.45	-0.124	0.02	0.009
7.48	-0.134	0.02	0.009
7.51	-0.135	0.02	0.009
7.55	-0.127	0.02	0.009
7.58	-0.112	0.02	0.009
7.61	-0.088	0.02	0.009
7.65	-0.059	0.02	0.009
7.68	-0.028	0.02	0.009
7.71	0.005	0.02	0.009
7.75	0.038	0.02	0.009
7.78	0.068	0.02	0.009
7.81	0.093	0.02	0.009
7.84	0.112	0.02	0.009
7.88	0.125	0.02	0.009
7.91	0.131	0.02	0.009
7.94	0.129	0.02	0.009
7.98	0.117	0.02	0.009
8.01	0.098	0.02	0.009
8.04	0.073	0.02	0.009
8.08	0.044	0.02	0.009
8.11	0.013	0.02	0.009
8.14	-0.021	0.02	0.009
8.18	-0.053	0.02	0.009
8.21	-0.082	0.02	0.009
8.24	-0.106	0.02	0.009
8.28	-0.123	0.02	0.009
8.31	-0.133	0.02	0.009
8.34	-0.133	0.02	0.009
8.38	-0.125	0.02	0.009
8.41	-0.109	0.02	0.009
8.44	-0.084	0.02	0.009
8.48	-0.057	0.02	0.009
8.51	-0.024	0.02	0.009
8.54	0.008	0.02	0.009
8.58	0.039	0.02	0.009
8.61	0.069	0.02	0.009
8.64	0.095	0.02	0.009
8.68	0.113	0.02	0.009
8.71	0.125	0.02	0.009
8.74	0.129	0.02	0.009
8.78	0.125	0.02	0.009
8.81	0.113	0.02	0.009
8.84	0.094	0.02	0.009
8.88	0.069	0.02	0.009
8.91	0.040	0.02	0.009
8.94	0.009	0.02	0.009
8.97	-0.024	0.02	0.009
9.01	-0.055	0.02	0.009
9.04	-0.084	0.02	0.009
9.07	-0.106	0.02	0.009
9.11	-0.123	0.02	0.009
9.14	-0.131	0.02	0.009
9.17	-0.130	0.02	0.009
9.21	-0.123	0.02	0.009
9.24	-0.103	0.02	0.009
9.27	-0.082	0.02	0.009
9.31	-0.054	0.02	0.009
9.34	-0.022	0.02	0.009
9.37	0.010	0.02	0.009
9.41	0.041	0.02	0.009
9.44	0.070	0.02	0.009
9.47	0.095	0.02	0.009
9.51	0.113	0.02	0.009
9.54	0.124	0.02	0.009
9.57	0.127	0.02	0.009
9.61	0.123	0.02	0.009
9.64	0.111	0.02	0.009
9.67	0.092	0.02	0.009
9.71	0.067	0.02	0.009
9.74	0.037	0.02	0.009
9.77	0.006	0.02	0.009
9.81	-0.025	0.02	0.009
9.84	-0.056	0.02	0.009
9.87	-0.083	0.02	0.009
9.91	-0.106	0.02	0.009
9.94	-0.122	0.02	0.009
9.97	-0.129	0.02	0.009
10.01	-0.127	0.02	0.009
10.04	-0.120	0.02	0.009
10.07	-0.100	0.02	0.009
10.11	-0.077	0.02	0.009
10.14	-0.049	0.02	0.009
10.17	-0.020	0.02	0.009
10.20	0.013	0.02	0.009
10.24	0.043	0.02	0.009
10.27	0.072	0.02	0.009
10.30	0.095	0.02	0.009
10.34	0.112	0.02	0.009
10.37	0.122	0.02	0.009
10.40	0.125	0.02	0.009
10.44	0.120	0.02	0.009
10.47	0.108	0.02	0.009
10.50	0.089	0.02	0.009
10.54	0.064	0.02	0.009
10.57	0.035	0.02	0.009
10.60	0.004	0.02	0.009
10.64	-0.028	0.02	0.009
10.67	-0.058	0.02	0.009
10.70	-0.084	0.02	0.009
10.74	-0.105	0.02	0.009
10.77	-0.122	0.02	0.009
10.80	-0.128	0.02	0.009
10.84	-0.126	0.02	0.009
10.87	-0.113	0.02	0.009
10.90	-0.098	0.02	0.009
10.94	-0.074	0.02	0.009
10.97	-0.047	0.02	0.009
11.00	-0.016	0.02	0.009
11.04	0.014	0.02	0.009
11.07	0.045	0.02	0.009
11.10	0.072	0.02	0.009
11.14	0.096	0.02	0.009
11.17	0.111	0.02	0.009
11.20	0.120	0.02	0.009
11.24	0.123	0.02	0.009
11.27	0.118	0.02	0.009
11.30	0.104	0.02	0.009
11.34	0.084	0.02	0.009
11.37	0.060	0.02	0.009
11.40	0.031	0.02	0.009
11.43	0.001	0.02	0.009
11.47	-0.030	0.02	0.009
11.50	-0.060	0.02	0.009
11.53	-0.085	0.02	0.009
11.57	-0.104	0.02	0.009
11.60	-0.120	0.02	0.009
11.63	-0.126	0.02	0.009
11.67	-0.123	0.02	0.009
11.70	-0.110	0.02	0.009
11.73	-0.095	0.02	0.009
11.77	-0.070	0.02	0.009
11.80	-0.042	0.02	0.009
11.83	-0.012	0.02	0.009
11.87	0.018	0.02	0.009
11.90	0.047	0.02	0.009
11.93	0.073	0.02	0.009
11.97	0.095	0.02	0.009
12.00	0.111	0.02	0.009
12.03	0.120	0.02	0.009
12.07	0.121	0.02	0.009
12.10	0.114	0.02	0.009
12.13	0.101	0.02	0.009
12.17	0.081	0.02	0.009
12.20	0.057	0.02	0.009
12.23	0.028	0.02	0.009
12.27	-0.003	0.02	0.009
12.30	-0.032	0.02	0.009
12.33	-0.060	0.02	0.009
12.37	-0.084	0.02	0.009
12.40	-0.104	0.02	0.009
12.43	-0.120	0.02	0.009
12.47	-0.119	0.02	0.009
12.50	-0.116	0.02	0.009
12.53	-0.111	0.02	0.009
12.57	-0.089	0.02	0.009
12.60	-0.064	0.02	0.009
12.63	-0.040	0.02	0.009
12.66	-0.010	0.02	0.009
12.70	0.020	0.02	0.009
12.73	0.048	0.02	0.009
12.76	0.073	0.02	0.009
12.80	0.095	0.02	0.009
12.83	0.110	0.02	0.009
12.86	0.118	0.02	0.009
12.90	0.118	0.02	0.009
12.93	0.112	0.02	0.009
12.96	0.098	0.02	0.009
13.00	0.079	0.02	0.009
13.03	0.055	0.02	0.009
13.06	0.025	0.02	0.009
13.10	-0.004	0.02	0.009
13.13	-0.035	0.02	0.009
13.16	-0.062	0.02	0.009
13.20	-0.085	0.02	0.009
13.23	-0.104	0.02	0.009
13.26	-0.113	0.02	0.009
13.30	-0.119	0.02	0.009
13.33	-0.116	0.02	0.009
13.36	-0.104	0.02	0.009
13.40	-0.088	0.02	0.009
13.43	-0.063	0.02	0.009
13.46	-0.034	0.02	0.009
13.50	-0.008	0.02	0.009
